transition      EA              nu0             trans_up        degeneracy
hco+2-1         4.2512e-05      178.3750650e9   2               5,3
hco+3-2         1.4757e-03      267.5576190e9   3               7,5
hco+4-3         3.6269e-03      356.7342880e9   4               9,7
hco+5-4         7.2449e-03      445.9029960e9   5               11,9
hco+6-5         1.2711e-02      535.0617755e9   6               13,11
hco+7-6         2.0402e-02      624.2086733e9   7               15,13
hco+8-7         3.0711e-02      713.3420900e9   8               17,15
hco+9-8         4.4006e-02      802.4583290e9   9               19,17
hco+10-9        6.0667e-02      891.5579242e9   10              21,19
hcn2-1          2.311e-04       177.2611112e9   2               15,9
hcn3-2          8.356e-04       265.8864339e9   3               21,15
hcn4-3          2.0540e-03      354.5054779e9   4               27,21
hcn5-4          4.102e-03       443.1161485e9   5               33,27
hcn6-5          7.197e-03       531.7163479e9   6               39,33
hcn7-6          1.155e-02       620.3040022e9   7               45,39
hcn8-7          1.739e-02       708.8770051e9   8               51,45
hcn9-8          2.492e-02       797.4332623e9   9               57,51
hcn10-9         3.435e-02       885.9706949e9   10              63,57
cs2-1           1.679e-5        97.9809533e9    2               5,3
cs3-2           6.071e-5        146.9690287e9   3               7,5
cs4-3           1.492e-4        195.9542109e9   4               9,7
cs5-4           2.981e-4        244.9355565e9   5               11,9
cs6-5           5.230e-4        293.9120865e9   6               13,11
cs7-6           8.395e-4        342.8828503e9   7               15,13
cs8-7           1.263e-3        391.8468898e9   8               17,15
cs9-8           1.810e-3        440.8032320e9   9               19,17
cs10-9          2.496e-3        489.7509210e9   10              21,19
cs11-10         3.336e-3        538.6889972e9   11              23,21
cs12-11         4.346e-3        587.6164850e9   12              25,23
cs13-12         5.541e-3        636.5324600e9   13              27,25
cs14-13         6.938e-3        685.4359238e9   14              29,27
cs15-14         8.550e-3        734.3259290e9   15              31,29
cs16-15         1.039e-2        783.2015140e9   16              33,31
cs17-16         1.249e-2        832.0617177e9   17              35,33
cs18-17         1.484e-2        880.9055792e9   18              37,35
cs19-18         1.747e-2        929.7321250e9   19              39,37
cs20-19         2.040e-2        978.5404329e9   20              41,39
h13cn2-1        2.136e-04       172.6778512e9   2               15,9
h13cn3-2        7.725e-04       259.0117976e9   3               21,15
h13cn4-3        1.899e-03       345.3397693e9   4               27,21
h13cn5-4        3.792e-03       431.6597748e9   5               33,27
h13cn6-5        6.653e-03       517.9698210e9   6               39,33
h13cn7-6        1.068e-02       604.2679140e9   7               45,39
h13cn8-7        1.607e-02       690.5520790e9   8               51,45
h13cn9-8        2.303e-02       776.8203197e9   9               57,51
h13cn10-9       3.175e-02       863.0706340e9   10              63,57
h2co27-23       1.029e-2        701.370458e9    27              21,19
co1-0           7.203e-08       115.2712018e9   1               3
co2-1           6.910e-07       230.5380000e9   2               5
co3-2           2.497e-06       345.7959899e9   3               7
co4-3           6.126e-06       461.0407682e9   4               9
co5-4           1.221e-05       576.2679305e9   5               11
co6-5           2.137e-05       691.4730763e9   6               13
co7-6           3.422e-05       806.6518060e9   7               15
co8-7           5.134e-05       921.7997000e9   8               17
13co1-0         6.294E-08       110.2013542e9   1               3
13co2-1         6.038E-07       220.3986841e9   2               5
13co3-2         2.181E-06       330.5879652e9   3               7
13co4-3         5.353E-06       440.7651734e9   4               9
13co5-4         1.067E-05       550.9262850e9   5               11
13co6-5         1.868E-05       661.0672766e9   6               13
13co7-6         2.991E-05       771.1841254e9   7               15
13co8-7         4.487E-05       881.2728093e9   8               17
13co9-8         6.406E-05       991.3293068e9   9               19
c17o1-0         6.697e-08	    112.3592837e9   1               3
c17o2-1         6.425e-07	    224.7143850e9   2               5
c17o3-2         2.321e-06	    337.0611298e9   3               7
c17o4-3         5.696e-06	    449.3953412e9   4               9
c17o5-4         1.136e-05	    561.7127845e9   5               11
c17o6-5         1.988e-05	    674.0093443e9   6               13
c17o7-6         3.182e-05	    786.2808166e9   7               15
c17o8-7         4.774e-05	    898.5230217e9   8               17
c18o1-0         6.266e-08	    109.7821734e9   1               3
c18o2-1         6.011e-07	    219.5603541e9   2               5
c18o3-2         2.172e-06	    329.3305525e9   3               7
c18o4-3         5.330e-06	    439.0887658e9   4               9
c18o5-4         1.062e-05	    548.8310055e9   5               11
c18o6-5         1.860e-05	    658.5532782e9   6               13
c18o7-6         2.978e-05	    768.2515933e9   7               15
c18o8-7         4.468e-05	    877.9219553e9   8               17
c18o9-8         6.380e-05	    987.5603822e9   9               19
